date,playcount
2022-06-10,3082
2022-06-11,3090
2022-06-12,3095
2022-06-13,3095
2022-06-14,3095
2022-06-15,3095
2022-06-16,3095
2022-06-17,3095
2022-06-18,3095
2022-07-25,3228
2022-07-26,3233
2022-07-27,3237
2022-07-28,3238
2022-07-29,3238
2022-07-30,3246
2022-07-31,3246
2022-08-01,3250
2022-08-02,3250
2022-08-03,3250
2022-08-04,3255
2022-08-05,3263
2022-08-06,3263
2022-08-07,3268
2022-08-08,3270
2022-08-09,3275
2022-08-10,3275
2022-08-11,3278
2022-08-12,3281
2022-08-13,3281
2022-08-14,3284
2022-08-15,3287
2022-08-16,3290
2022-08-17,3292
2022-08-19,3303
2022-08-20,3304
2022-08-21,3305
2022-08-22,3305
2022-08-23,3305
2022-08-24,3308
2022-08-25,3311
2022-08-26,3315
2022-08-27,3315
2022-08-28,3315
2022-08-29,3315
2022-08-30,3319
2022-08-31,3323
